component,feature,loading,abs_loading
PC31,Home_throw_ins,-0.18630042374159095,0.18630042374159095
PC31,Home_saves,0.1774734276057198,0.1774734276057198
PC31,Away_saves,0.17416417822559388,0.17416417822559388
PC31,Away_assists,0.15645123855999163,0.15645123855999163
PC32,Away_long_balls,0.5427383471610772,0.5427383471610772
PC32,Home_long_balls,0.3190419297596232,0.3190419297596232
PC32,Away_throw_ins,-0.3072817119047012,0.3072817119047012
PC32,Home_interceptions,-0.30509127632856986,0.30509127632856986
PC32,Away_clearances,-0.2886472438299257,0.2886472438299257
PC32,Home_corners,0.21391560703320867,0.21391560703320867
PC32,Home_goal_kicks,-0.17168888632995166,0.17168888632995166
PC32,Away_goal_kicks,-0.15511898504455846,0.15511898504455846
PC32,Home_clearances,-0.1540760828841963,0.1540760828841963
PC32,Home_saves,-0.14612061939028748,0.14612061939028748
PC33,Home_clearances,-0.3851734330283338,0.3851734330283338
PC33,Home_throw_ins,-0.33838552443549685,0.33838552443549685
PC33,Home_interceptions,0.3353836105347534,0.3353836105347534
PC33,Home_aerials_won,0.30662235822018297,0.30662235822018297
PC33,Away_interceptions,-0.2835620558376136,0.2835620558376136
PC33,Away_long_balls,-0.2781056774330596,0.2781056774330596
PC33,Away_clearances,-0.2593577732458825,0.2593577732458825
PC33,Home_long_balls,0.24978340924632486,0.24978340924632486
PC33,Home_corners,0.22458550464899837,0.22458550464899837
PC33,Away_aerials_won,0.20824087969521926,0.20824087969521926
PC34,Home_aerials_won,0.5314919319764808,0.5314919319764808
PC34,Away_clearances,-0.3768364653555458,0.3768364653555458
PC34,Home_long_balls,-0.34251520059477863,0.34251520059477863
PC34,Away_interceptions,0.3366275770141499,0.3366275770141499
PC34,Home_shots,0.19454509697211606,0.19454509697211606
PC34,Home_interceptions,-0.179194138879661,0.179194138879661
PC34,Home_throw_ins,0.17291773010058145,0.17291773010058145
PC34,Away_goal_kicks,0.1482800111704467,0.1482800111704467
PC34,Away_long_balls,-0.14487134916295122,0.14487134916295122
PC34,Away_saves,-0.14248889992587416,0.14248889992587416
PC35,Home_saves,0.39582089149811,0.39582089149811
PC35,Away_saves,0.3704687228856006,0.3704687228856006
PC35,Home_corners,0.2673485266510203,0.2673485266510203
PC35,Away_clearances,-0.24337163063065131,0.24337163063065131
PC35,Home_assists,0.2398154585567403,0.2398154585567403
PC35,Away_assists,0.23793685660313102,0.23793685660313102
PC35,Home_clearances,-0.22368012271287355,0.22368012271287355
PC35,Home_throw_ins,0.2085251537484507,0.2085251537484507
PC35,Away_keeper_gk_saves,-0.20338281071316852,0.20338281071316852
PC35,Away_corners,0.1937542744250732,0.1937542744250732
PC36,Away_touches,-0.372185314395259,0.372185314395259
PC36,Home_touches,-0.35223683100049213,0.35223683100049213
PC36,home_xg,-0.3498575546787674,0.3498575546787674
PC36,Home_shots,-0.32804169845233094,0.32804169845233094
PC36,away_xg,-0.27931331505020396,0.27931331505020396
PC36,Home_long_balls,-0.262349531513326,0.262349531513326
PC36,Away_passing_accuracy,-0.21098115497224557,0.21098115497224557
PC36,Away_shots,-0.20194639616394902,0.20194639616394902
PC36,Home_corners,0.16162330987507587,0.16162330987507587
PC36,Away_throw_ins,-0.13591598160583213,0.13591598160583213
PC37,Away_aerials_won,0.3779364571876397,0.3779364571876397
PC37,Away_tackles_won,0.3670459228685247,0.3670459228685247
PC37,Home_interceptions,-0.33347775889346637,0.33347775889346637
PC37,Away_long_balls,-0.3329462612963541,0.3329462612963541
PC37,Home_tackles,-0.30148935451962433,0.30148935451962433
PC37,Home_tackles_won,0.22788570137967787,0.22788570137967787
PC37,Away_throw_ins,0.2238471138203983,0.2238471138203983
PC37,Away_tackles,-0.22064661649235276,0.22064661649235276
PC37,away_xg,-0.18935616976158504,0.18935616976158504
PC37,Home_aerials_won,-0.18302508514105925,0.18302508514105925
PC38,away_xg,-0.341783656119552,0.341783656119552
PC38,Home_aerials_won,-0.3370756005869558,0.3370756005869558
PC38,Home_tackles_won,-0.333116074396687,0.333116074396687
PC38,Away_tackles_won,-0.3110303666395313,0.3110303666395313
PC38,Away_tackles,0.3080841902167715,0.3080841902167715
PC38,Home_tackles,0.29799253181461516,0.29799253181461516
PC38,Away_aerials_won,0.2607599021789365,0.2607599021789365
PC38,Away_shots,-0.24566250982078952,0.24566250982078952
PC38,Home_long_balls,0.18092512420312823,0.18092512420312823
PC38,Away_interceptions,0.1650673874592191,0.1650673874592191
PC39,Away_interceptions,-0.37796634772874727,0.37796634772874727
PC39,Home_corners,-0.31675742673002527,0.31675742673002527
PC39,Home_interceptions,0.26848857310679436,0.26848857310679436
PC39,Home_throw_ins,0.24881342783718144,0.24881342783718144
PC39,Away_goal_kicks,-0.24698371950187836,0.24698371950187836
PC39,Away_corners,0.24416753583082917,0.24416753583082917
PC39,Home_crosses,0.24412227540050666,0.24412227540050666
PC39,Home_long_balls,-0.23846023646357287,0.23846023646357287
PC39,Away_throw_ins,-0.19602222977031283,0.19602222977031283
PC39,Home_tackles_won,0.17849338684258048,0.17849338684258048
PC40,Home_crosses,0.4031121805640219,0.4031121805640219
PC40,Home_corners,-0.3594460795538007,0.3594460795538007
PC40,Home_clearances,-0.3095819953883965,0.3095819953883965
PC40,Home_throw_ins,-0.3031779542263851,0.3031779542263851
PC40,Away_corners,0.2901848612952322,0.2901848612952322
PC40,Home_aerials_won,0.2430017431399278,0.2430017431399278
PC40,Away_throw_ins,0.2333848117526048,0.2333848117526048
PC40,Away_interceptions,0.2136576764870731,0.2136576764870731
PC40,Away_tackles,0.18535928625484263,0.18535928625484263
PC40,Away_clearances,0.1842540791398501,0.1842540791398501
PC41,home_xg,0.4138753450535412,0.4138753450535412
PC41,away_xg,-0.3731877478747947,0.3731877478747947
PC41,Away_aerials_won,-0.26514132606179475,0.26514132606179475
PC41,Home_aerials_won,0.2461122834896083,0.2461122834896083
PC41,Away_clearances,0.2453980414764221,0.2453980414764221
PC41,Home_crosses,-0.230744378496797,0.230744378496797
PC41,Home_goal_kicks,0.1882761037943639,0.1882761037943639
PC41,Away_goal_kicks,-0.18360150222780802,0.18360150222780802
PC41,Home_keeper_gk_save_pct,-0.179618094853641,0.179618094853641
PC41,Away_keeper_gk_save_pct,0.16313459781719236,0.16313459781719236
