our_name,footballbert_player_id,match_type,match_score
andrew robertson,ba016937,exact,100.0
andrew surman,ba045946,exact,100.0
andrew taylor,ba092261,exact,100.0
andrey galabinov,ba003735,exact,100.0
andrey lunev,,unmatched,0.0
andrey santos,ba081307,exact,100.0
andri fannar baldursson,ba036115,exact,100.0
andrias edmundsson,ba041521,exact,100.0
andrija balic,ba057105,exact,100.0
andrija bulatovic,,unmatched,0.0
andriy lunin,ba017720,exact,100.0
andriy yarmolenko,ba048590,exact,100.0
andros townsend,ba065391,exact,100.0
andu kelati,ba094117,exact,100.0
andy carroll,ba066499,exact,100.0
andy delort,ba077505,exact,100.0
andy diouf,ba056890,exact,100.0
andy king,ba079117,exact,100.0
andy logbo,,unmatched,0.0
andy pelmard,ba088647,exact,100.0
andy wilkinson,ba056686,exact,100.0
anel ahmedhodzic,ba086134,exact,100.0
anele ngcongca,ba017328,exact,100.0
ange-yoan bonny,ba037007,exact,100.0
angel algobia,ba063238,exact,100.0
angel correa,ba000732,exact,100.0
angel di maria,ba009406,exact,100.0
angel gomes,ba037000,exact,100.0
angel jimenez,ba095964,exact,100.0
angel lafita,ba004201,exact,100.0
angel montoro,ba041678,exact,100.0
angel ortiz,ba093955,exact,100.0
angel perez,ba052625,exact,100.0
angel rangel,ba054266,exact,100.0
angel rodriguez,ba004058,exact,100.0
angel trujillo,ba002970,exact,100.0
angelino,ba017796,exact,100.0
angelo,ba020460,exact,100.0
angelo da costa,,unmatched,0.0
